,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10
S001,,1,,4,,2,,3,,
S002,,,1,3,,,2,,,4
S003,4,,2,,,3,,,1,
S004,,3,,,4,,2,,,1
S005,,,,,,1,4,3,2,
S006,3,,4,2,,1,,,,
S007,1,,,,3,,4,,2,
S008,1,4,,3,,2,,,,
S009,,,,,,,1,4,3,1
S010,,,,2,3,1,,4,,
S011,2,,3,,4,,1,,,
S012,,3,,4,,,,,1,2
S013,,,,,,1,,3,2,4
S014,3,,4,,,,1,,,2
S015,,3,,4,1,,2,,,
S016,,2,,1,,4,,3,,
S017,1,,2,,4,,,,,3
S018,,4,,2,,,1,,,3
S019,3,,,2,,,,4,1,
S020,,3,,,,2,,,4,1
S021,4,,3,,2,,1,,,
S022,,,,3,,,,1,4,2
S023,1,4,3,,,2,,,,
S024,3,,,4,,,1,,2,
S025,4,3,2,1,,,,,,
S026,,,,,4,1,3,2,,
S027,2,,,4,3,,,,1,
S028,,,4,,,,,3,2,1
S029,2,4,,1,,3,,,,
S030,4,,,,,,3,1,,2
S031,,,3,,2,,,1,4,
S032,4,3,1,,,,,,,2
S033,,,1,,3,4,,2,,
S034,1,,,4,,,2,,,3
S035,,3,,,2,,4,1,,
S036,1,4,2,,,,,,3,
S037,,,,2,4,3,,,,1
S038,,,,4,,,3,1,,2
S039,1,,3,2,,,,,4,
S040,2,1,,,4,3,,,,
S041,,,,,1,2,3,4,,
S042,,4,1,3,,,,,2,
S043,1,,,3,2,4,,,,
S044,,,3,,2,,4,,,1
S045,,,,1,,3,,2,,4
S046,1,2,4,,,,,,3,
S047,,,,2,3,,1,,,4
S048,,,1,,,4,,2,3,
S049,1,,3,,4,,,,,2
S050,,,4,,1,3,,,2,
